
NOTICE: Existing SQLite export found: /home/vedant.tejas/dsa_kernel_profile.sqlite
        It is assumed file was previously exported from: /home/vedant.tejas/dsa_kernel_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/vedant.tejas/dsa_kernel_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.1.3/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                Name               
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ---------------------------------
     70.4       10,584,406        124     85,358.1      4,730.0      3,410  8,461,107    769,996.3  cudaLaunchKernel                 
     15.3        2,306,001          2  1,153,000.5  1,153,000.5  1,123,010  1,182,991     42,413.0  cudaGetDeviceProperties_v2_v12000
      5.3          804,224          2    402,112.0    402,112.0     12,801    791,423    550,568.9  cudaDeviceSynchronize            
      4.0          595,791          3    198,597.0    175,333.0    160,533    259,925     53,624.6  cudaMalloc                       
      2.0          299,544         60      4,992.4      4,425.0      3,960     31,121      3,461.5  cuLaunchKernelEx                 
      1.6          238,455          1    238,455.0    238,455.0    238,455    238,455          0.0  cuModuleLoadData                 
      1.0          149,673          1    149,673.0    149,673.0    149,673    149,673          0.0  cudaMemcpyAsync                  
      0.1           20,250         14      1,446.4        700.0        220     11,250      2,862.3  cudaStreamIsCapturing_v10000     
      0.1           19,190          2      9,595.0      9,595.0      7,670     11,520      2,722.4  cudaEventRecordWithFlags_v11010  
      0.1            8,090          2      4,045.0      4,045.0        530      7,560      4,971.0  cudaEventDestroy                 
      0.0            7,520          2      3,760.0      3,760.0      3,030      4,490      1,032.4  cudaEventCreateWithFlags         
      0.0            6,190          1      6,190.0      6,190.0      6,190      6,190          0.0  cudaStreamSynchronize            
      0.0            4,200          2      2,100.0      2,100.0        790      3,410      1,852.6  cudaEventQuery                   
      0.0              760          1        760.0        760.0        760        760          0.0  cuModuleGetLoadingMode           

